barcode,product_name,front_image,ingredients_image,nutrition_image,packaging_image
5410942104158,"Passendale classic","https://images.openfoodfacts.org/images/products/541/094/210/4158/front_nl.64.full.jpg","https://images.openfoodfacts.org/images/products/541/094/210/4158/ingredients_en.75.full.jpg;https://images.openfoodfacts.org/images/products/541/094/210/4158/ingredients_nl.7.full.jpg;https://images.openfoodfacts.org/images/products/541/094/210/4158/ingredients_fr.49.full.jpg","https://images.openfoodfacts.org/images/products/541/094/210/4158/nutrition_nl.66.full.jpg",""
5449000000996,"Coca Cola","https://images.openfoodfacts.org/images/products/544/900/000/0996/front_it.597.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_ka.614.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_sq.623.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_de.713.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_en.983.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_ru.873.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_pl.728.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_ar.132.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_es.986.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_ro.447.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_pt.133.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_fr.747.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_az.618.full.jpg","https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_sq.624.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_bg.954.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_ka.615.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_ro.602.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_it.598.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_ar.628.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_es.612.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_pl.730.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_az.619.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_fr.599.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_en.749.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/ingredients_de.785.full.jpg","https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_pl.369.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_fr.600.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_az.620.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_en.940.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_de.609.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_sq.625.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_ka.616.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_ro.708.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_bg.950.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/nutrition_es.988.full.jpg","https://images.openfoodfacts.org/images/products/544/900/000/0996/packaging_en.679.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/packaging_pl.607.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/packaging_az.621.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/packaging_ro.706.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/packaging_ka.617.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/packaging_bg.631.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/packaging_es.784.full.jpg;https://images.openfoodfacts.org/images/products/544/900/000/0996/packaging_sq.626.full.jpg"
6001069206581,"Potato Chips Salt & Vinegar Flavour","https://images.openfoodfacts.org/images/products/600/106/920/6581/front_en.10.full.jpg;https://images.openfoodfacts.org/images/products/600/106/920/6581/front_fr.4.full.jpg","","https://images.openfoodfacts.org/images/products/600/106/920/6581/nutrition_en.11.full.jpg",""
6982494701059,"Jeera","https://images.openfoodfacts.org/images/products/698/249/470/1059/front_en.11.full.jpg","","",""
8000500225615,"Nutella Ferrero","https://images.openfoodfacts.org/images/products/800/050/022/5615/front_hi.3.full.jpg;https://images.openfoodfacts.org/images/products/800/050/022/5615/front_en.18.full.jpg","https://images.openfoodfacts.org/images/products/800/050/022/5615/ingredients_fr.12.full.jpg;https://images.openfoodfacts.org/images/products/800/050/022/5615/ingredients_en.19.full.jpg","https://images.openfoodfacts.org/images/products/800/050/022/5615/nutrition_en.20.full.jpg",""
8004323130378,"pasta","https://images.openfoodfacts.org/images/products/800/432/313/0378/front_en.3.full.jpg","","",""
8410125245170,"Figaro Olive Oil","https://images.openfoodfacts.org/images/products/841/012/524/5170/front_en.3.full.jpg","","https://images.openfoodfacts.org/images/products/841/012/524/5170/nutrition_en.8.full.jpg",""
8696740100029,"Dried Apricots","https://images.openfoodfacts.org/images/products/869/674/010/0029/front_en.8.full.jpg","","",""
8801037006391,"Maxim Mocha gold","https://images.openfoodfacts.org/images/products/880/103/700/6391/front_en.16.full.jpg","https://images.openfoodfacts.org/images/products/880/103/700/6391/ingredients_en.14.full.jpg","https://images.openfoodfacts.org/images/products/880/103/700/6391/nutrition_en.18.full.jpg",""
8809111630258,"Peace Juice Drink With Real Fruit Pulp","https://images.openfoodfacts.org/images/products/880/911/163/0258/front_en.13.full.jpg;https://images.openfoodfacts.org/images/products/880/911/163/0258/front.13.full.jpg","","",""
